"year","team","number","player","sets_played","matches_played","points","points_per_set","kills","kills_per_set","attack_errors","attack_attempts","hitting_efficiency","assists","assists_per_set","service_aces","service_aces_per_set","serive_errors","service_errors_per_set","digs","digs_per_set","blocks","blocks_per_set"
2024,"Omaha",13,"Briggs-Romine, Paige",61,23,101,1.66,86,1.41,30,247,22.7,2,0.03,10,0.16,21,106,1.74,5,0.08,0
2024,"Omaha",14,"Kai Reed, Nia",27,10,62,2.3,53,1.96,18,162,21.6,1,0.04,2,0.07,3,43,1.59,7,0.26,2
2024,"Omaha",15,"Mayfield, Allison",17,8,44,2.59,38,2.23,16,106,20.8,1,0.06,1,0.06,8,32,1.88,5,0.29,0
2024,"Omaha",18,"De La Cruz, Bethania",84,24,315,3.75,271,3.23,78,789,24.5,11,0.13,32,0.38,45,227,2.7,12,0.14,0
2024,"Omaha",21,"Samedy, Stephanie",19,6,75,3.95,67,3.53,23,188,23.4,1,0.05,6,0.32,12,54,2.84,2,0.1,1
2024,"Omaha",23,"Thompson, Gabby",18,6,0,0,0,0,0,0,0,10,0.56,0,0,0,62,3.44,0,0,1
2024,"Omaha",24,"Davis, Sophie",13,6,19,1.46,14,1.08,4,32,31.2,1,0.08,0,0,2,4,0.31,5,0.39,0
2024,"Omaha",25,"Cartwright, Maggie",8,4,18,2.25,15,1.88,8,47,14.9,1,0.13,2,0.25,2,9,1.13,1,0.13,0
2024,"Omaha",81,"Hart, Danielle",21,6,45,2.14,34,1.62,13,92,22.8,1,0.05,0,0,4,18,0.86,11,0.52,0
2024,"Orlando",3,"Evans, Melissa",7,5,12,1.71,11,1.57,5,28,21.4,0,0,1,0.14,2,10,1.43,0,0,0
2024,"Orlando",5,"Murphy, Georgia",102,24,0,0,0,0,0,0,0,75,0.73,0,0,0,379,3.72,0,0,1
2024,"Orlando",7,"Mohler, Blake",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"Orlando",8,"Cruz, Aurea",16,7,1,0.06,0,0,1,13,-7.7,1,0.06,1,0.06,4,9,0.56,0,0,0
2024,"Orlando",9,"White, M'Kaela",89,23,175,1.97,120,1.35,28,301,30.6,6,0.07,5,0.06,26,51,0.57,50,0.56,3
2024,"Orlando",10,"Gillen, Jill",79,21,273,3.46,240,3.04,91,752,19.8,10,0.13,13,0.17,43,205,2.6,20,0.25,1
2024,"Orlando",11,"Brown, Kazmiere",102,24,293,2.87,213,2.09,53,481,33.3,6,0.06,12,0.12,44,34,0.33,68,0.67,4
2024,"Orlando",12,"Rivera, Wilma",83,23,56,0.67,25,0.3,6,84,22.6,722,8.7,21,0.25,37,182,2.19,10,0.12,8
2024,"Orlando",13,"Williams, Kalyah",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"Orlando",14,"Anae, Adora",88,21,363,4.13,311,3.53,132,947,18.9,16,0.18,21,0.24,40,290,3.29,31,0.35,4
2024,"Orlando",15,"Joseph, Shainah",75,18,174,2.32,153,2.04,70,531,15.6,10,0.13,5,0.07,25,193,2.57,16,0.21,0
2024,"Orlando",18,"Skjodt, Carly",57,22,54,0.95,50,0.88,23,178,15.2,3,0.05,1,0.02,8,62,1.09,3,0.05,0
2024,"Orlando",19,"Hansen, Abby",16,7,26,1.63,19,1.19,5,44,31.8,1,0.06,0,0,7,6,0.38,7,0.44,0
2024,"Orlando",20,"Cerame, Paula",63,21,5,0.08,0,0,0,0,0,4,0.06,5,0.08,17,45,0.71,0,0,0
2024,"Orlando",21,"Tealer, Azhani",44,15,95,2.16,77,1.75,34,220,19.5,2,0.04,0,0,8,62,1.41,18,0.41,1
2024,"Orlando",22,"Graham, Carly",51,16,21,0.41,13,0.26,5,46,17.4,328,6.43,2,0.04,7,116,2.27,6,0.12,11
2024,"Orlando",24,"Schwan, Courtney",11,3,35,3.18,30,2.73,7,85,27.1,1,0.09,2,0.18,2,38,3.46,3,0.27,0
2024,"Orlando",27,"Fields, Skylar",19,7,35,1.84,29,1.53,12,106,16,1,0.05,1,0.05,3,11,0.58,5,0.26,1
2024,"San Diego",1,"Raskie, August",35,19,18,0.51,12,0.34,5,26,26.9,140,4,3,0.09,5,49,1.4,3,0.09,7
2024,"San Diego",2,"Venegas, Shara",95,24,1,0.01,1,0.01,0,1,100,96,1.01,0,0,1,345,3.63,0,0,0
2024,"San Diego",3,"Dahlke, Kendra",37,13,111,3,96,2.6,48,307,15.6,3,0.08,3,0.08,16,84,2.27,12,0.32,1
2024,"San Diego",4,"Johnson, Willow",34,8,105,3.09,95,2.79,40,306,18,2,0.06,1,0.03,9,76,2.23,9,0.27,0
2024,"San Diego",6,"Cole, Kylie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"San Diego",7,"Stone, Ronika",96,24,238,2.48,174,1.81,30,429,33.6,10,0.1,13,0.14,13,64,0.67,51,0.53,0
2024,"San Diego",8,"Tapp, Hannah",46,16,93,2.02,57,1.24,18,136,28.7,9,0.2,2,0.04,17,20,0.43,34,0.74,6
2024,"San Diego",9,"Loberg, Grace",13,6,25,1.92,19,1.46,8,89,12.4,0,0,1,0.08,4,23,1.77,5,0.39,0
2024,"San Diego",10,"Bastianelli, Ali",58,18,137,2.36,65,1.12,24,169,24.3,3,0.05,10,0.17,22,29,0.5,62,1.07,0
2024,"San Diego",12,"Papa, Valeria",43,18,105,2.44,97,2.26,45,298,17.4,4,0.09,2,0.05,8,110,2.56,6,0.14,1
2024,"San Diego",13,"Tomkom, Nootsara",88,24,20,0.23,7,0.08,4,33,9.1,932,10.59,8,0.09,10,270,3.07,5,0.06,14
2024,"San Diego",14,"Felix, Claire",2,1,4,2,1,0.5,1,4,0,0,0,0,0,0,2,1,3,1.5,0
2024,"San Diego",16,"Vander Weide, Lindsey",69,22,235,3.41,195,2.83,75,607,19.8,5,0.07,12,0.17,14,184,2.67,28,0.41,0
2024,"San Diego",17,"Stalzer, Lindsay",8,4,17,2.13,15,1.88,11,67,6,1,0.13,1,0.13,2,13,1.63,1,0.13,0
2024,"San Diego",19,"Thomas-Ailara, Temi",90,24,370,4.11,330,3.67,121,906,23.1,3,0.03,12,0.13,42,248,2.76,28,0.31,0
2024,"San Diego",23,"Velez-Agosto, Nomaris",42,16,0,0,0,0,0,0,0,6,0.14,0,0,0,42,1,0,0,2
2024,"San Diego",30,"Lewis, Morgan",51,20,153,3,127,2.49,47,378,21.2,4,0.08,4,0.08,25,84,1.65,22,0.43,0
2024,"San Diego",42,"Bacon, Karson",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"San Diego",77,"Collazo Vazquez, Genesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"Vegas",NA,"Bell, Khat",68,20,272,4,228,3.35,110,711,16.6,8,0.12,6,0.09,13,201,2.96,38,0.56,1
2024,"Vegas",NA,"McCage, Molly",26,7,96,3.69,67,2.58,18,152,32.2,3,0.12,2,0.08,13,14,0.54,27,1.04,0
2024,"Vegas",2,"Schermerhorn, Madison",14,7,0,0,0,0,0,0,0,0,0,0,0,4,5,0.36,0,0,0
2024,"Vegas",4,"Murr, Kylie",89,23,0,0,0,0,0,0,0,65,0.73,0,0,0,358,4.02,0,0,0
2024,"Vegas",6,"Pukis, Hannah",1,1,1,1,1,1,0,1,100,1,1,0,0,0,0,0,0,0,0
2024,"Vegas",6,"Glass Childress, Alisha",92,24,85,0.92,39,0.42,15,97,24.7,976,10.61,6,0.07,18,256,2.78,40,0.43,20
2024,"Vegas",7,"Van Buskirk, Layne",69,20,155,2.25,105,1.52,37,207,32.9,8,0.12,10,0.14,19,29,0.42,40,0.58,2
2024,"Vegas",8,"Kalaniuvalu, Janet",9,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2024,"Vegas",10,"Prieto-Cerame, Paulina",11,7,13,1.18,11,1,6,38,13.2,0,0,1,0.09,3,10,0.91,1,0.09,0
2024,"Vegas",12,"Gonzales, Gabby",63,22,135,2.14,129,2.05,57,466,15.5,5,0.08,4,0.06,20,136,2.16,2,0.03,0
2024,"Vegas",14,"Caffrey, Payton",20,6,61,3.05,51,2.55,28,152,15.1,1,0.05,2,0.1,17,50,2.5,8,0.4,1
2024,"Vegas",16,"McArthur, Amani",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"Vegas",17,"Sauer, Kenna",32,13,78,2.44,61,1.91,34,202,13.4,2,0.06,5,0.16,14,62,1.94,12,0.38,0
2024,"Vegas",18,"Livingston, Erin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,"Vegas",21,"Havili, Ainise",6,4,0,0,0,0,0,0,0,14,2.33,0,0,2,6,1,0,0,0
2024,"Vegas",24,"Jemison AV, Meghan",29,14,0,0,0,0,0,0,0,3,0.1,0,0,3,16,0.55,0,0,0
2024,"Vegas",28,"Vicini, McKenna",14,4,21,1.5,12,0.86,1,35,31.4,4,0.29,2,0.14,6,7,0.5,7,0.5,1
2025,"Atlanta",1,"Smith, Taylor",70,26,60,0.86,49,0.7,26,156,14.7,4,0.06,5,0.07,17,87,1.24,6,0.09,0
2025,"Atlanta",2,"White, Micaya",18,6,59,3.28,55,3.06,16,153,25.5,1,0.06,0,0,16,45,2.5,4,0.22,0
2025,"Atlanta",3,"Fanning, Shelly",2,1,4,2,4,2,1,10,30,0,0,0,0,1,1,0.5,0,0,0
2025,"Atlanta",4,"Bertolino, Bianca",6,5,0,0,0,0,1,1,-100,0,0,0,0,3,3,0.5,0,0,0
2025,"Atlanta",5,"Beason, Merritt",71,23,230,3.24,191,2.69,93,578,17,6,0.09,16,0.23,22,148,2.08,23,0.32,3
2025,"Atlanta",7,"Timmer, Pia",92,24,236,2.57,204,2.22,63,610,23.1,11,0.12,24,0.26,12,190,2.06,8,0.09,2
2025,"Atlanta",9,"Hentz, Morgan",113,28,0,0,0,0,0,0,0,103,0.91,0,0,0,508,4.5,0,0,2
2025,"Atlanta",10,"Beller, Taya",21,8,34,1.62,26,1.24,11,76,19.7,1,0.05,3,0.14,13,13,0.62,5,0.24,0
2025,"Atlanta",12,"Vicini, McKenna",98,26,188,1.92,134,1.37,33,348,29,12,0.12,6,0.06,31,58,0.59,48,0.49,1
2025,"Atlanta",13,"Edmond, Leah",113,28,496,4.39,409,3.62,147,1103,23.8,14,0.12,41,0.36,73,310,2.74,46,0.41,2
2025,"Atlanta",14,"Bower, Whitney",20,9,2,0.1,0,0,0,0,0,23,1.15,2,0.1,3,11,0.55,0,0,2
